source,target,tgt_lng
Strength,力量,zh-CN
Dexterity,敏捷,zh-CN
Constitution,体质,zh-CN
Intelligence,智力,zh-CN
Wisdom,感知,zh-CN
Charisma,魅力,zh-CN
Barbarian,野蛮人,zh-CN
Bard,吟游诗人,zh-CN
Cleric,牧师,zh-CN
Druid,德鲁伊,zh-CN
Fighter,战士,zh-CN
Monk,武僧,zh-CN
Paladin,圣武士,zh-CN
Ranger,游侠,zh-CN
Rogue,游荡者,zh-CN
Sorcerer,术士,zh-CN
Warlock,邪术师,zh-CN
Wizard,法师,zh-CN
Elf,精灵,zh-CN
Tiefling,提夫林,zh-CN
Drow,卓尔,zh-CN
Human,人类,zh-CN
Githyanki,吉斯洋基人,zh-CN
Dwarf,矮人,zh-CN
Half-Elf,半精灵,zh-CN
Halfling,半身人,zh-CN
Gnome,侏儒,zh-CN
Dragonborn,龙裔,zh-CN
Half-Orc,半兽人,zh-CN
Athletics,运动,zh-CN
Acrobatics,体操,zh-CN
Sleight of Hand,巧手,zh-CN
Stealth,隐匿,zh-CN
Arcana,奥秘,zh-CN
History,历史,zh-CN
Investigation,调查,zh-CN
Nature,自然,zh-CN
Religion,宗教,zh-CN
Animal Handling,驯兽,zh-CN
Insight,洞察,zh-CN
Medicine,医药,zh-CN
Perception,察觉,zh-CN
Survival,生存,zh-CN
Deception,欺瞒,zh-CN
Intimidation,威吓,zh-CN
Performance,表演,zh-CN
Persuasion,游说,zh-CN
Spell Slot,法术位,zh-CN
Saving Throw,豁免检定,zh-CN
Ability Check,属性检定,zh-CN
Difficulty Class,难度等级,zh-CN
Attack Roll,攻击掷骰,zh-CN
Armor Class,护甲等级,zh-CN
Proficiency Bonus,熟练项加值,zh-CN
Advantage,优势,zh-CN
Disadvantage,劣势,zh-CN
Long Rest,长休,zh-CN
Short Rest,短休,zh-CN
Hit Points,生命值,zh-CN
Downed,倒地,zh-CN
Opportunity Attack,借机攻击,zh-CN
Reaction,反应,zh-CN
Action,动作,zh-CN
Bonus Action,附赠动作,zh-CN
Cantrip,戏法,zh-CN
Concentration,专注,zh-CN
Charmed,魅惑,zh-CN
Frightened,恐惧,zh-CN
Poisoned,中毒,zh-CN
Prone,仆倒,zh-CN
Stunned,震慑,zh-CN
Restrained,束缚,zh-CN
Incapacitated,失能,zh-CN
Paralyzed,麻痹,zh-CN
Blindness,致盲,zh-CN
The Dark Urge,邪念,zh-CN
Mind Flayer,夺心魔,zh-CN
Tadpole,幼体,zh-CN
Absolute,至上真神,zh-CN
True Soul,真魂者,zh-CN
Camp,营地,zh-CN
Guardian,守护者,zh-CN
Artifact,遗物,zh-CN
Acid Splash,酸液爆裂,zh-CN
Blade Ward,剑刃防护,zh-CN
Bone Chill,白骨之寒,zh-CN
Dancing Lights,舞光术,zh-CN
Eldritch Blast,魔能爆,zh-CN
Fire Bolt,火焰箭,zh-CN
Friends,交友术,zh-CN
Guidance,神导术,zh-CN
Light,光亮术,zh-CN
Mage Hand,法师之手,zh-CN
Minor Illusion,次级幻影,zh-CN
Poison Spray,毒液喷射,zh-CN
Produce Flame,产生火焰,zh-CN
Ray of Frost,霜冻射线,zh-CN
Resistance,抗性术,zh-CN
Sacred Flame,圣火术,zh-CN
Shillelagh,橡棍术,zh-CN
Shocking Grasp,电爪,zh-CN
Thaumaturgy,奇术,zh-CN
Thorn Whip,荆棘之鞭,zh-CN
True Strike,真打术,zh-CN
Vicious Mockery,恶毒嘲笑,zh-CN
Animal Friendship,动物交友术,zh-CN
Armor of Agathys,阿加斯之铠,zh-CN
Arms of Hadar,哈达之臂,zh-CN
Bane,灾祸术,zh-CN
Bless,祝福术,zh-CN
