source,target,tgt_lng
Strength,力量,zh-TW
Dexterity,敏捷,zh-TW
Constitution,體質,zh-TW
Intelligence,智力,zh-TW
Wisdom,感知,zh-TW
Charisma,魅力,zh-TW
Barbarian,野蠻人,zh-TW
Bard,吟遊詩人,zh-TW
Cleric,牧師,zh-TW
Druid,德魯伊,zh-TW
Fighter,戰士,zh-TW
Monk,武僧,zh-TW
Paladin,聖武士,zh-TW
Ranger,遊俠,zh-TW
Rogue,遊蕩者,zh-TW
Sorcerer,術士,zh-TW
Warlock,邪術師,zh-TW
Wizard,法師,zh-TW
Elf,精靈,zh-TW
Tiefling,提夫林,zh-TW
Drow,卓爾,zh-TW
Human,人類,zh-TW
Githyanki,吉斯洋基人,zh-TW
Dwarf,矮人,zh-TW
Half-Elf,半精靈,zh-TW
Halfling,半身人,zh-TW
Gnome,侏儒,zh-TW
Dragonborn,龍裔,zh-TW
Half-Orc,半獸人,zh-TW
Athletics,運動,zh-TW
Acrobatics,體操,zh-TW
Sleight of Hand,巧手,zh-TW
Stealth,隱匿,zh-TW
Arcana,奧秘,zh-TW
History,歷史,zh-TW
Investigation,調查,zh-TW
Nature,自然,zh-TW
Religion,宗教,zh-TW
Animal Handling,馴獸,zh-TW
Insight,洞察,zh-TW
Medicine,醫藥,zh-TW
Perception,察覺,zh-TW
Survival,生存,zh-TW
Deception,欺瞞,zh-TW
Intimidation,威嚇,zh-TW
Performance,表演,zh-TW
Persuasion,遊說,zh-TW
Spell Slot,法術位,zh-TW
Saving Throw,豁免檢定,zh-TW
Ability Check,屬性檢定,zh-TW
Difficulty Class,難度等級,zh-TW
Attack Roll,攻擊擲骰,zh-TW
Armor Class,護甲等級,zh-TW
Proficiency Bonus,熟練項加值,zh-TW
Advantage,優勢,zh-TW
Disadvantage,劣勢,zh-TW
Long Rest,長休,zh-TW
Short Rest,短休,zh-TW
Hit Points,生命值,zh-TW
Downed,倒地,zh-TW
Opportunity Attack,借機攻擊,zh-TW
Reaction,反應,zh-TW
Action,動作,zh-TW
Bonus Action,附贈動作,zh-TW
Cantrip,戲法,zh-TW
Concentration,專注,zh-TW
Charmed,魅惑,zh-TW
Frightened,恐懼,zh-TW
Poisoned,中毒,zh-TW
Prone,仆倒,zh-TW
Stunned,震懾,zh-TW
Restrained,束縛,zh-TW
Incapacitated,失能,zh-TW
Paralyzed,麻痹,zh-TW
Blindness,致盲,zh-TW
The Dark Urge,邪念,zh-TW
Mind Flayer,奪心魔,zh-TW
Tadpole,幼體,zh-TW
Absolute,至上真神,zh-TW
True Soul,真魂者,zh-TW
Camp,營地,zh-TW
Guardian,守護者,zh-TW
Artifact,遺物,zh-TW
Acid Splash,酸液爆裂,zh-TW
Blade Ward,劍刃防護,zh-TW
Bone Chill,白骨之寒,zh-TW
Dancing Lights,舞光術,zh-TW
